date,sender,msg_block
2022-08-17 11:14:16+00:00,Si jia Lai,4 meat and one vegetarian bento at wkw lvl 2
2022-08-18 06:05:08+00:00,Karen Toh,free food at lt22
2022-08-18 11:38:20+00:00,Choo Ching 🧃,"hi theres 4 vegetarian bento, 1 halal bento! all halal at wkwsci level 2 bench, s(637718);hi, got 12 pax non veg and 2 pax veg bento in front tr 56 hive"
2022-08-19 08:15:22+00:00,WeiDee,"hi there are 10 vegetarian, 35 non-vege bentos, all halal. at wkwsci lvl 2"
2022-08-19 11:28:21+00:00,Vin,"food at wkwsci lvl2 3veg, 4nonveg"
2022-08-20 03:43:10+00:00,WeiDee,"hi, 28 breakfast bentos at wkwsci lvl 2 (all halal)"
2022-08-20 06:48:05+00:00,WeiDee,5 halal lunch bentos outside wkwsci lvl 2 lift + matcha pudding
2022-08-20 07:13:02+00:00,NTUFreeFood,3 bentos at hall 6
2022-08-21 03:24:43+00:00,WeiDee,"11 non-vege, 1 vege breakfast bento outside wkwsci lvl 2 lift"
2022-08-22 13:32:53+00:00,Hon Lim,"hi, there are 3 sets of vegetarian bento on the table outside of lt7"
2022-08-22 14:26:20+00:00,Esther See,bread buns on table outside hall 4 admin office. bring yr own plastic bags n containers
2022-08-23 05:45:47+00:00,Caleb,spms atrium (level 3)
2022-08-24 14:27:34+00:00,Esther See,assorted kueh on hall 4 admin table. fcfs
2022-08-25 10:33:07+00:00,NTUFreeFood,pizza at sbs lobby
2022-08-25 11:01:54+00:00,Choo Ching 🧃,"hello, 2 non-vegetarian bentos at level 2 wkwsci, s(637718)"
2022-08-25 11:25:00+00:00,Hogan,14 non veg and 2 veg bentos at the hive lv3 in front tr 56 (halal certified)
2022-08-25 12:02:13+00:00,Sky Song,"3 vege bentos at lt19 bench, halal certified"
2022-08-25 12:07:37+00:00,NTUFreeFood,bentos at nanyang audi
2022-08-25 13:24:31+00:00,bryan,hello! could i seek for your help to post on ntu free food that there are 5 bento boxes at hall 10? thank you!
2022-08-26 07:33:54+00:00,WeiDee,"9 vege, 25 non-vege bentos at wkwsci lvl 2"
2022-08-27 02:23:28+00:00,NTUFreeFood,9 box of breakfast bento at wkw lvl2
2022-08-27 05:41:35+00:00,WeiDee,17 coconut pudding at wkwsci lvl 2
2022-08-28 02:47:35+00:00,WeiDee,8 boxes of breakfast bento outside wkwsci lvl 2 lift
2022-08-28 05:41:28+00:00,Sun Xuan,"hi, there’s 5 packets of vegetarian bento at wkw lvl2"
2022-08-30 07:22:10+00:00,NTUFreeFood,lt18 have 30 sets of bento
2022-08-30 11:00:27+00:00,Choo Ching 🧃,"hello, 11 non-veg bentos and 2 veg bentos   wkwsci level 2, s (637718)"
2022-08-31 05:12:53+00:00,Decong Li,free food at nie canteen 1st floor
2022-08-31 10:29:26+00:00,Si jia Lai,9 non veg fried mee near lift area at wkw lvl2
2022-08-31 14:38:23+00:00,Chung Jiajun,"hello! free bread from food rescue, hall 9"
2022-09-01 10:47:49+00:00,Choo Ching 🧃,"hello 12 non veg bentos & 2 veg at wkwsci level 2, 31 nanyang link, s (637718)"
2022-09-01 11:28:05+00:00,Hogan,"18 pax non veg, 1 pax veg, 10 water cup at the hive tr 56 lvl 3 (halal cert)"
2022-09-02 11:33:52+00:00,Vin,15 nonveg and water cups wkwsci lvl2
2022-09-02 14:12:42+00:00,Cedric ⚡️,72x pastry boxes at lkclt foyer
2022-09-05 05:57:43+00:00,Shu Min,"27 bentos at arc, tr+14!"
2022-09-05 14:22:44+00:00,Salmah :D,hi :d 11 halal bento sets at hive level b3 outside tr19!
2022-09-07 11:03:24+00:00,Si jia Lai,2 non veg meehoon at wkw lvl 2
2022-09-07 11:34:16+00:00,JiaXin,catering at outside lt2a
2022-09-07 13:00:07+00:00,NTUFreeFood,hi! we have a lot of leftover food in ase in north spine
2022-09-08 11:10:00+00:00,NTUFreeFood,free food outside the cohass auditorium. pls byo containers
2022-09-08 11:57:30+00:00,Hogan,"hi, here got 14 non veg, 1 veg bebtos (halal cert) at hive lvl 3 in front tr 56"
2022-09-09 06:30:24+00:00,Zhang Yong,matcha kitkats (expire oct) outside src swimming pool
2022-09-09 11:19:05+00:00,NTUFreeFood,nanyang audi foyer
2022-09-09 11:24:48+00:00,Vin,wkwsci lvl2 14 nonveg
2022-09-09 12:14:46+00:00,NTUFreeFood,wkw bentos cleared
2022-09-10 06:26:48+00:00,NTUFreeFood,"hi, there’s 10 bento at wkw lvl3"
2022-09-10 10:40:47+00:00,NTUFreeFood,11 veg and 23 non veg bentos at nanyang audi
2022-09-11 05:46:38+00:00,Kimberly Wong,free food at s4 b1a (in front of the lifts) bring own containers
2022-09-13 05:09:54+00:00,Yao Hui | Jayson,"free food at abn level 1 , infront of graduate college. bring your own container."
2022-09-14 06:13:31+00:00,NTUFreeFood,free food at south spine s4 b5 to be cleared by 430pm
2022-09-14 06:42:04+00:00,Yu Yun,hi free food outside tct
2022-09-14 14:29:41+00:00,Chung Jiajun,"hello! free bread from bread rescue, hall 9 collection point table"
2022-09-15 11:35:55+00:00,Hogan,"hi, got 13 non veg, 3 veg bentos (halal cert) at hive lvl 3 in front tr 56"
2022-09-16 11:32:08+00:00,Vin,14 nonveg at wkwsci lvl2
2022-09-17 05:32:25+00:00,Sun Xuan,"hi, 8 bento at wkw lvl 3"
2022-09-17 11:27:38+00:00,WenZhen,free food outside lt8! executive bento :)
2022-09-17 14:36:18+00:00,NTUFreeFood,"ntu hall 4 under block 27 letterbox, free unopened oatly"
2022-09-18 05:00:59+00:00,Sun Xuan,"hi, 7 bento at wkw lvl 3;hi, 7 bento at wkw lvl 3;hi, 7 bento at wkw lvl 3"
2022-09-20 11:24:55+00:00,YJ,hi free food outside lt3
2022-09-21 11:05:39+00:00,Si jia Lai,three packs of vegetarian and 1 pack of chicken rice
2022-09-21 14:08:59+00:00,Chung Jiajun,"hello! free bread from food rescue, hall 9 canteen :-)"
2022-09-21 15:02:16+00:00,NTUFreeFood,chicken puffs at north spine tables near mcdonalds
2022-09-22 12:20:39+00:00,🛶🐈‍⬛🦜🦪🍃🌊🛶🍃,"hi we have free mooncakes outside binjai hall 19b’s jcrc room! :);buffet at hss foyer until 9pm!;hi, here got 10 veg, 2 non veg bentos (halal cert) at hive lvl 3 in front tr 56"
2022-09-23 11:25:30+00:00,Vin,"wkwsci lvl2 11nonveg, 3 veg"
2022-09-23 12:44:24+00:00,Z,nanyang auditorium level 3 have noodles and chicken. cleared by 9pm. please help to post. thank you.
2022-09-24 05:11:52+00:00,qing,5 packets (4 halal + 1 veg) at table outside the hive lhs tr+25
2022-09-24 05:19:10+00:00,Sun Xuan,"hi, 5 bentos at wkw lvl 3"
2022-09-26 09:25:48+00:00,NTUFreeFood,free food   lt1
2022-09-27 09:18:19+00:00,kelly yuen,food at nanyang auditorium lvl 3 clear about 5.30pm.. event ended alr
2022-09-28 06:07:22+00:00,NTUFreeFood,"the arc level 1 - vegetarian fried brown rice, spring roll, sweet and sour fish fillet, oat cereal prawn, vegetables"
2022-09-28 08:09:52+00:00,NTUFreeFood,the arc level 1
2022-09-28 11:31:24+00:00,NTUFreeFood,"more at the arc level 1 - fried brown rice, chicken chop, teriyaki baked fish, vegetables, chicken sausage egg, lotus pau, ginko nut soup"
2022-09-28 14:14:45+00:00,Chung Jiajun,hello! free bread at hall 9 collection point from food rescue :-)
2022-09-29 06:05:06+00:00,NTUFreeFood,free food outside lt 23 consume by 3pm
2022-09-30 05:32:03+00:00,sriracha is sauce,"hi, two free bentos at global lounge!"
2022-09-30 05:51:50+00:00,Kai Yi,we have 18 non-veg bento boxes and 2 vegetarian at lt6
2022-09-30 08:25:05+00:00,Wei Kiat Goh,"hi, we have 11 non-veg and 3 veg bentos at arc b2 outside tr+5, but it is best consumed 2.30pm so please take at your own risk! take by 5.30pm if you want else we will throw them away :)"
2022-09-30 11:35:01+00:00,v,"hello! we have 1 veg noodle , cabbage and 1 non veg fried rice at 50 nanyang clubhouse. it’s near hall 8 and opp src"
2022-10-01 04:58:26+00:00,Danqi Wang,"non veg bento: 8, veg bento: 1. location: spms level 3 mas atrium"
2022-10-01 05:06:18+00:00,Sun Xuan,15 bento at wkw lvl 3
2022-10-03 12:16:04+00:00,ES,hi! have free food buffet at the hive level 3 rooftop :)
2022-10-04 10:49:43+00:00,Choo Ching 🧃,hello 26 non veg bentos at wkwsci level 2 (31 nanyang link)
2022-10-05 06:00:09+00:00,Yao Hui | Jayson,free food at graduate college ntu.  abn level 1. bring your own container.   to be cleared by 2.45pm
2022-10-06 11:48:53+00:00,Hogan,"hi l, here got 15 non veg, 3 veg bento set (halal cert) at hive lvl 2 tr 52"
2022-10-07 07:49:58+00:00,Teoh Yeeguan,hi 20 nasi lemak bento at wkwsci level 2
2022-10-07 11:25:52+00:00,Vin,wkwsci lvl 2 8 nonveg and 1 veg
2022-10-08 04:20:31+00:00,richelle adarsh,hi! non veg and veg bentos at tan chin tuan lt 2
2022-10-09 08:15:25+00:00,Joey Er,"2 loafs of white brand at lower rugby field grandstand!!!;hi! there are 3 non veg and 3 veg bentos but supposed to be consumed by 3.15pm, at wkw lvl 2"
2022-10-09 09:56:26+00:00,Ck,free starbucks black coffee at wkw lvl 2
2022-10-10 14:19:04+00:00,Chung Jiajun,free fruits at hall 9 pick up point!
2022-10-10 15:48:56+00:00,Hannah,"oatly, dated 19 sep 2022. also at hall 9 pick up point!"
2022-10-11 10:44:37+00:00,NTUFreeFood,hello! we have some some free food in ns lt11. clearing by 7pm!
2022-10-11 11:49:55+00:00,mingdao,"chee chong fun, potato salad and fruit punch outside tct  thanks!!"
2022-10-12 11:37:27+00:00,Si jia Lai,two veg bento at wkw lvl 2
2022-10-12 13:04:55+00:00,Archit,we have 8 bubble teas and 1 green tea at scse ilab (n4-b2b-14)
